Month,DayOftheMonth,Time,Username,IPAddress,Port
Mar,6,06:25:24,root,20.187.88.188,59126
Mar,6,06:25:25,leonardo,161.82.233.179,44304
Mar,6,06:25:35,master,49.234.24.246,50730
Mar,6,06:25:37,root,183.88.189.109,50401
Mar,6,06:26:07,root,154.221.19.60,53614
Mar,6,06:26:30,appuser,124.236.22.12,54510
Mar,6,06:26:44,csgoserver,161.82.233.179,33360
Mar,6,06:26:47,games,183.88.189.109,42545
Mar,6,06:27:12,root,49.234.24.246,37782
Mar,6,06:27:18,root,20.187.88.188,47820
Mar,6,06:27:33,payara,154.221.19.60,42850
Mar,6,06:27:59,root,124.236.22.12,46646
Mar,6,06:28:05,mattermost,183.88.189.109,2007
Mar,6,06:28:05,root,161.82.233.179,50644
Mar,6,06:28:40,sam,49.234.24.246,53070
Mar,6,06:28:59,server,154.221.19.60,60316
Mar,6,06:29:10,marek,20.187.88.188,36512
Mar,6,06:29:15,root,183.88.189.109,18760
Mar,6,06:29:18,mine,124.236.22.12,39186
Mar,6,06:29:20,zr,161.82.233.179,39702
Mar,6,06:30:10,tf2server,49.234.24.246,40128
Mar,6,06:30:24,chris,183.88.189.109,4989
Mar,6,06:30:24,deluge,154.221.19.60,49546
Mar,6,06:30:37,root,161.82.233.179,56982
Mar,6,06:30:42,mysql,124.236.22.12,59812
Mar,6,06:31:07,kassa,20.187.88.188,53432
Mar,6,06:31:32,root,183.88.189.109,4422
Mar,6,06:31:54,lhy,154.221.19.60,38776
Mar,6,06:31:55,caixa,161.82.233.179,46048
Mar,6,06:31:59,ec2-user,124.236.22.12,51966
Mar,6,06:32:41,rd,183.88.189.109,14855
Mar,6,06:32:55,sai,20.187.88.188,42122
Mar,6,06:33:03,@#,124.236.22.12,43708
Mar,6,06:33:13,ubuntu,161.82.233.179,35108
Mar,6,06:33:24,anita,154.221.19.60,56240
Mar,6,06:33:56,root,183.88.189.109,50019
Mar,6,06:34:13,csgoserver,124.236.22.12,35758
Mar,6,06:34:19,design,168.187.100.61,50565
Mar,6,06:34:32,mobiquity,161.82.233.179,52402
Mar,6,06:34:46,root,20.187.88.188,59044
Mar,6,06:34:55,root,154.221.19.60,45470
Mar,6,06:35:09,jacky,183.88.189.109,38029
Mar,6,06:35:20,user14,124.236.22.12,55346
Mar,6,06:35:50,root,161.82.233.179,41460
Mar,6,06:36:18,test03,183.88.189.109,40340
Mar,6,06:36:25,appserver,154.221.19.60,34704
Mar,6,06:36:31,max,124.236.22.12,47388
Mar,6,06:36:40,pizza,20.187.88.188,47736
Mar,6,06:37:09,service,161.82.233.179,58748
Mar,6,06:37:30,hxhtftp,183.88.189.109,47217
Mar,6,06:37:45,test,154.221.19.60,52168
Mar,6,06:37:49,luciana,124.236.22.12,39752
Mar,6,06:38:29,root,161.82.233.179,47808
Mar,6,06:38:33,heng,20.187.88.188,36426
Mar,6,06:38:40,root,183.88.189.109,51865
Mar,6,06:38:56,test03,124.236.22.12,58922
Mar,6,06:39:06,sysadmin,154.221.19.60,41398
Mar,6,06:39:48,root,161.82.233.179,36864
Mar,6,06:39:57,hadi,183.88.189.109,52317
Mar,6,06:40:04,jessica,20.187.88.188,53344
Mar,6,06:40:16,download,124.236.22.12,50856
Mar,6,06:40:31,root,154.221.19.60,58864
Mar,6,06:41:07,postgres,161.82.233.179,54154
Mar,6,06:41:09,git,179.43.175.208,46626
Mar,6,06:41:15,admin3,183.88.189.109,37596
Mar,6,06:41:30,bash,124.236.22.12,42440
Mar,6,06:41:47,nagios,20.187.88.188,42032
Mar,6,06:42:01,root,154.221.19.60,48094
Mar,6,06:42:24,iwan,183.88.189.109,12332
Mar,6,06:42:25,root,161.82.233.179,43214
Mar,6,06:42:42,root,124.236.22.12,35008
Mar,6,06:43:29,rstudio,154.221.19.60,37324
Mar,6,06:43:35,wk,183.88.189.109,51896
Mar,6,06:43:40,julio,20.187.88.188,58954
Mar,6,06:43:47,teste,161.82.233.179,60496
Mar,6,06:43:54,ty,124.236.22.12,55638
Mar,6,06:44:59,root,154.221.19.60,54786
Mar,6,06:45:03,cy,161.82.233.179,49560
Mar,6,06:45:07,sss,124.236.22.12,48032
Mar,6,06:45:31,root,20.187.88.188,47644
Mar,6,06:46:21,root,161.82.233.179,38612
Mar,6,06:46:24,root,124.236.22.12,35852
Mar,6,06:46:29,classic,154.221.19.60,44018
Mar,6,06:47:27,everdata,20.187.88.188,36336
Mar,6,06:47:39,zope,161.82.233.179,55902
Mar,6,06:47:48,root,124.236.22.12,53420
Mar,6,06:47:56,root,154.221.19.60,33250
Mar,6,06:48:02,ubuntu,168.187.100.61,34558
Mar,6,06:49:00,ava,161.82.233.179,44960
Mar,6,06:49:15,zq,124.236.22.12,44096
Mar,6,06:49:16,remote,20.187.88.188,53258
Mar,6,06:49:20,root,154.221.19.60,50714
Mar,6,06:50:12,sphinx,161.82.233.179,34020
Mar,6,06:50:34,root,124.236.22.12,34478
Mar,6,06:50:43,ankur,154.221.19.60,39946
Mar,6,06:51:11,cheng,20.187.88.188,41946
Mar,6,06:51:28,billy,161.82.233.179,51292
Mar,6,06:52:02,ftp1,124.236.22.12,53414
Mar,6,06:52:48,root,161.82.233.179,40350
Mar,6,06:52:57,www,20.187.88.188,58868
Mar,6,06:53:33,publisher,124.236.22.12,44110
Mar,6,06:54:09,root,161.82.233.179,57630
Mar,6,06:54:46,yx,20.187.88.188,47558
Mar,6,06:55:07,root,124.236.22.12,35062
Mar,6,06:55:25,root,161.82.233.179,46676
Mar,6,06:56:22,root,124.236.22.12,53670
Mar,6,06:56:38,root,20.187.88.188,36248
Mar,6,06:56:39,root,161.82.233.179,35738
Mar,6,06:56:50,user,46.19.139.18,55292
Mar,6,06:57:34,root,124.236.22.12,44130
Mar,6,06:57:48,user,176.111.173.242,34414
Mar,6,06:57:52,hp,161.82.233.179,53024
Mar,6,06:58:34,bkp,20.187.88.188,53170
Mar,6,06:58:53,root,124.236.22.12,34862
Mar,6,06:59:10,root,161.82.233.179,42074
Mar,6,07:00:06,ftptest,124.236.22.12,53520
Mar,6,07:00:25,git,20.187.88.188,41860
Mar,6,07:00:30,root,161.82.233.179,59356
Mar,6,07:01:24,lauren,124.236.22.12,44264
Mar,6,07:01:49,root,161.82.233.179,48406
Mar,6,07:02:27,user,20.187.88.188,58784
Mar,6,07:02:48,kuber,124.236.22.12,35254
Mar,6,07:04:07,manish,124.236.22.12,54210
Mar,6,07:05:23,root,124.236.22.12,44892
Mar,6,07:05:48,eoffice,104.248.139.143,57978
Mar,6,07:06:24,golden,167.71.69.127,53092
Mar,6,07:06:52,root,190.128.169.130,43032
Mar,6,07:07:08,fabio,111.12.63.34,40774
Mar,6,07:07:39,root,114.4.227.194,35176
Mar,6,07:08:07,admin,51.15.204.199,52319
Mar,6,07:08:41,root,111.12.63.34,52642
Mar,6,07:08:54,ppp,121.5.111.231,45434
Mar,6,07:09:10,chris,111.12.63.34,57040
Mar,6,07:09:34,glassfish,165.22.16.134,56284
Mar,6,07:09:41,root,111.12.63.34,33202
Mar,6,07:10:10,metro,111.12.63.34,37598
Mar,6,07:10:40,root,111.12.63.34,41992
Mar,6,07:10:52,admin,104.248.139.143,58260
Mar,6,07:11:11,user,111.12.63.34,46390
Mar,6,07:11:15,root,167.71.69.127,48484
Mar,6,07:11:27,root,51.15.204.199,43414
Mar,6,07:11:43,backoffice,111.12.63.34,50780
Mar,6,07:12:01,node,104.248.139.143,47788
Mar,6,07:12:05,hm,165.22.16.134,54710
Mar,6,07:12:06,root,190.128.169.130,38942
Mar,6,07:12:08,simone,114.4.227.194,53202
Mar,6,07:12:15,demon,111.12.63.34,55174
Mar,6,07:12:37,fsa,51.15.204.199,52366
Mar,6,07:12:50,tao,111.12.63.34,59568
Mar,6,07:13:00,plan,167.71.69.127,37910
Mar,6,07:13:07,itr,104.248.139.143,37318
Mar,6,07:13:23,root,165.22.16.134,43930
Mar,6,07:13:23,root,111.12.63.34,35732
Mar,6,07:13:29,moodle,114.4.227.194,42574
Mar,6,07:13:40,testwww,190.128.169.130,56536
Mar,6,07:13:44,cat,51.15.204.199,33083
Mar,6,07:13:59,ftptest,111.12.63.34,40128
Mar,6,07:14:19,root,121.5.111.231,33782
Mar,6,07:14:21,root,104.248.139.143,55076
Mar,6,07:14:27,root,111.12.63.34,44528
Mar,6,07:14:37,root,167.71.69.127,55566
Mar,6,07:14:42,anja,165.22.16.134,33148
Mar,6,07:14:48,bc,114.4.227.194,60172
Mar,6,07:14:49,test,51.15.204.199,42093
Mar,6,07:14:54,ann,111.12.63.34,48936
Mar,6,07:15:01,ubuntu,190.128.169.130,45920
Mar,6,07:15:25,sy,111.12.63.34,53336
Mar,6,07:15:28,yunhui,104.248.139.143,44604
Mar,6,07:15:53,itr,51.15.204.199,51042
Mar,6,07:15:54,ftptest,111.12.63.34,57730
Mar,6,07:15:58,fsa,165.22.16.134,50596
Mar,6,07:16:01,root,114.4.227.194,49546
Mar,6,07:16:12,lihao,167.71.69.127,44990
Mar,6,07:16:19,root,190.128.169.130,35288
Mar,6,07:16:24,user,111.12.63.34,33888
Mar,6,07:16:30,root,104.248.139.143,34128
Mar,6,07:16:53,root,111.12.63.34,38284
Mar,6,07:17:00,root,51.15.204.199,59993
Mar,6,07:17:13,itr,165.22.16.134,39816
Mar,6,07:17:25,eddie,111.12.63.34,42676
Mar,6,07:17:25,vmi,114.4.227.194,38912
Mar,6,07:17:35,root,104.248.139.143,51890
Mar,6,07:17:41,root,190.128.169.130,52878
Mar,6,07:17:43,zyh,167.71.69.127,34416
Mar,6,07:17:54,root,111.12.63.34,47070
Mar,6,07:18:03,root,51.15.204.199,40706
Mar,6,07:18:23,root,111.12.63.34,51466
Mar,6,07:18:32,sanjay,165.22.16.134,57266
Mar,6,07:18:48,root,114.4.227.194,56504
Mar,6,07:18:48,hm,104.248.139.143,41420
Mar,6,07:18:53,root,111.12.63.34,55864
Mar,6,07:19:01,valeria,190.128.169.130,42246
Mar,6,07:19:08,node,51.15.204.199,49717
Mar,6,07:19:12,tao,121.5.111.231,47296
Mar,6,07:19:16,beatrice,167.71.69.127,52072
Mar,6,07:19:22,proxyuser,111.12.63.34,60258
Mar,6,07:19:48,node,165.22.16.134,46482
Mar,6,07:19:50,opc,111.12.63.34,36418
Mar,6,07:19:51,rustserver,104.248.139.143,59178
Mar,6,07:20:03,stagiaire,114.4.227.194,45872
Mar,6,07:20:13,tap,51.15.204.199,58667
